,indices,data_values
RobustVolumeShapley(mc_epochs=300),16468,7.0629883664323305e-09
RobustVolumeShapley(mc_epochs=300),617,6.479240253116326e-09
RobustVolumeShapley(mc_epochs=300),29012,7.298391814799827e-09
RobustVolumeShapley(mc_epochs=300),35749,7.294361504826842e-09
RobustVolumeShapley(mc_epochs=300),11377,8.616916599605126e-09
RobustVolumeShapley(mc_epochs=300),21717,5.813732663715119e-09
RobustVolumeShapley(mc_epochs=300),10330,6.107539177275577e-09
RobustVolumeShapley(mc_epochs=300),4864,6.447537867147699e-09
RobustVolumeShapley(mc_epochs=300),42612,7.2109019889207844e-09
RobustVolumeShapley(mc_epochs=300),43676,7.784772854311573e-09
RobustVolumeShapley(mc_epochs=300),3837,8.072415114424428e-09
RobustVolumeShapley(mc_epochs=300),36405,8.095793738873258e-09
RobustVolumeShapley(mc_epochs=300),45169,8.288225214666624e-09
RobustVolumeShapley(mc_epochs=300),48439,7.835963815943089e-09
RobustVolumeShapley(mc_epochs=300),38629,7.328659143029765e-09
RobustVolumeShapley(mc_epochs=300),23462,6.838995935565245e-09
RobustVolumeShapley(mc_epochs=300),379,7.219158200802007e-09
RobustVolumeShapley(mc_epochs=300),33851,8.336240262258486e-09
RobustVolumeShapley(mc_epochs=300),11544,6.628397384235446e-09
RobustVolumeShapley(mc_epochs=300),17517,6.50163403464252e-09
RobustVolumeShapley(mc_epochs=300),10059,7.414670223081351e-09
RobustVolumeShapley(mc_epochs=300),12329,7.1046607814653185e-09
RobustVolumeShapley(mc_epochs=300),41819,7.890934202142697e-09
RobustVolumeShapley(mc_epochs=300),47831,5.548544916626931e-09
RobustVolumeShapley(mc_epochs=300),43161,7.768297410389141e-09
RobustVolumeShapley(mc_epochs=300),7050,6.5878199280620705e-09
RobustVolumeShapley(mc_epochs=300),361,8.297793098200228e-09
RobustVolumeShapley(mc_epochs=300),38721,8.171108282896647e-09
RobustVolumeShapley(mc_epochs=300),34690,7.174535172538889e-09
RobustVolumeShapley(mc_epochs=300),28802,6.659715635964883e-09
RobustVolumeShapley(mc_epochs=300),40799,8.88993620939731e-09
RobustVolumeShapley(mc_epochs=300),13691,9.018218733335066e-09
RobustVolumeShapley(mc_epochs=300),10090,7.082053340224411e-09
RobustVolumeShapley(mc_epochs=300),33389,8.026459165118102e-09
RobustVolumeShapley(mc_epochs=300),33355,5.969592495282434e-09
RobustVolumeShapley(mc_epochs=300),27476,6.835879530475273e-09
RobustVolumeShapley(mc_epochs=300),20623,9.009950599686343e-09
RobustVolumeShapley(mc_epochs=300),22283,8.034797188865734e-09
RobustVolumeShapley(mc_epochs=300),42342,9.268161747619144e-09
RobustVolumeShapley(mc_epochs=300),27708,7.3215977097264555e-09
RobustVolumeShapley(mc_epochs=300),17424,6.541540640457555e-09
RobustVolumeShapley(mc_epochs=300),4640,5.63021465933469e-09
RobustVolumeShapley(mc_epochs=300),25263,8.290795524765707e-09
RobustVolumeShapley(mc_epochs=300),18222,6.88019748864045e-09
RobustVolumeShapley(mc_epochs=300),12514,6.490154190048795e-09
RobustVolumeShapley(mc_epochs=300),20553,7.194466886849009e-09
RobustVolumeShapley(mc_epochs=300),39267,7.4142008066722636e-09
RobustVolumeShapley(mc_epochs=300),11630,6.628936343889212e-09
RobustVolumeShapley(mc_epochs=300),29357,6.488475123046169e-09
RobustVolumeShapley(mc_epochs=300),13890,5.824963756960707e-09
RobustVolumeShapley(mc_epochs=300),23966,7.511604755135816e-09
RobustVolumeShapley(mc_epochs=300),20983,7.388734954564435e-09
RobustVolumeShapley(mc_epochs=300),37610,6.969828431983031e-09
RobustVolumeShapley(mc_epochs=300),21046,7.161254280277106e-09
RobustVolumeShapley(mc_epochs=300),36499,7.538296303973542e-09
RobustVolumeShapley(mc_epochs=300),2129,7.250300288057016e-09
RobustVolumeShapley(mc_epochs=300),29188,7.726339387925934e-09
RobustVolumeShapley(mc_epochs=300),32574,6.6753390463947556e-09
RobustVolumeShapley(mc_epochs=300),26428,7.731035688073251e-09
RobustVolumeShapley(mc_epochs=300),31882,7.640968152372469e-09
RobustVolumeShapley(mc_epochs=300),8388,6.0426827960615505e-09
RobustVolumeShapley(mc_epochs=300),21705,6.963305433478865e-09
RobustVolumeShapley(mc_epochs=300),27752,7.212899310853336e-09
RobustVolumeShapley(mc_epochs=300),39499,6.725063678616663e-09
RobustVolumeShapley(mc_epochs=300),12796,5.7377746980169064e-09
RobustVolumeShapley(mc_epochs=300),12390,6.6759942731322195e-09
RobustVolumeShapley(mc_epochs=300),47632,7.346493979013567e-09
RobustVolumeShapley(mc_epochs=300),14002,9.147957562794063e-09
